Date,Open,High,Low,Close,Adj Close,Volume
21-01-2020,615121.75,623231.1875,608199,622532.8125,622532.8125,1.71525E+12
22-01-2020,622412.9375,625266.25,614155.625,617293.625,617293.625,1.60709E+12
23-01-2020,617277.5625,619705.5625,594446.625,599645.0625,599645.0625,1.83825E+12
24-01-2020,599577.4375,607312.875,589636.5625,602374.8125,602374.8125,1.74019E+12
25-01-2020,601995.75,603303.375,591732,596840.9375,596840.9375,1.40136E+12
26-01-2020,596595.75,613582.25,593831.625,613184.875,613184.875,1.58186E+12
27-01-2020,613219,641458.5625,614277.6875,636606.5625,636606.5625,2.04685E+12
28-01-2020,636799.875,666709.6875,634641.3125,666709.6875,666709.6875,2.45058E+12
29-01-2020,666629.9375,670772.625,661005.75,664368.875,664368.875,2.18798E+12
30-01-2020,664325.1875,683717.25,660655.3125,680558.6875,680558.6875,2.31735E+12
31-01-2020,680510,680792.4375,659991.25,668553.5,668553.5,2.10439E+12
01-02-2020,668255.25,674902.1875,665887.25,671581.1875,671581.1875,1.85344E+12
02-02-2020,671362.8125,677009.5625,659065.1875,668112.75,668112.75,2.20472E+12
03-02-2020,668135.5625,680458.4375,659650.5,662852,662852,2.20635E+12
04-02-2020,662803.5625,663546.3125,648012,652858.25,652858.25,2.1257E+12
05-02-2020,653032.6875,690635.5625,652364.125,684379.6875,684379.6875,2.50746E+12
06-02-2020,684692.6875,700524.8125,680217.625,693764.0625,693764.0625,2.68305E+12
07-02-2020,693493.1875,703339.625,695564.8125,700566.6875,700566.6875,2.46893E+12
08-02-2020,700361.25,706345.625,692196.9375,705513.875,705513.875,2.51536E+12
09-02-2020,705426.3125,724414.5,704458.5625,723501.875,723501.875,2.56083E+12
10-02-2020,723422.1875,724824.125,697644.3125,702781.3125,702781.3125,2.80828E+12
11-02-2020,702730,727826.625,693558.5,727697.125,727697.125,2.68375E+12
12-02-2020,727280.1875,741127.9375,727492.5,736310.6875,736310.6875,3.09784E+12
13-02-2020,736161.375,745404,721064.8125,728065.625,728065.625,3.51803E+12
14-02-2020,727864,738300.375,724248.0625,737593.6875,737593.6875,3.09985E+12
15-02-2020,737718.1875,739699.4375,706287.1875,707359.875,707359.875,3.13753E+12
16-02-2020,707342.375,719139.875,695422.5,710589.75,710589.75,3.10251E+12
17-02-2020,710741.875,710903.25,678785.4375,691482.6875,691482.6875,3.28241E+12
18-02-2020,691560.3125,727619.875,689702.625,726014.75,726014.75,3.3839E+12
19-02-2020,726143.75,730122,688591.8125,689985.5625,689985.5625,3.36578E+12
20-02-2020,689694.625,690410.4375,684231.1875,690676.4375,690676.4375,3.22932E+12
21-02-2020,690914.125,697942.375,689003.875,696334.0625,696334.0625,2.94239E+12
22-02-2020,696425,697181.5625,690172.375,694662,694662,2.57631E+12
23-02-2020,694671.8125,714347.8125,694274.4375,713421.3125,713421.3125,2.96059E+12
24-02-2020,713210.5625,715378.75,687787.6875,695287.375,695287.375,3.24801E+12
25-02-2020,695369.375,695472,668640.1875,671481.8125,671481.8125,3.056E+12
26-02-2020,671236.3125,672421.4375,623430.1875,632196,632196,3.61377E+12
27-02-2020,632523.625,640131.1875,614757.875,629795.5,629795.5,3.25994E+12
28-02-2020,630099.125,637712.875,613249.0625,625934.4375,625934.4375,3.2194E+12
29-02-2020,625844.75,633381.25,620669.5625,620669.5625,620669.5625,2.58332E+12
01-03-2020,620687.5625,629856.5625,611409.75,617995.125,617995.125,2.55133E+12
02-03-2020,618053.625,645929.5,615842.625,642377,642377,3.10392E+12
03-03-2020,642066.875,651223.125,637684.0625,645247.625,645247.625,3.11227E+12
04-03-2020,645303.125,650208.5,639858.4375,643466.8125,643466.8125,2.55371E+12
05-03-2020,643837.125,674889.3125,643614.375,670517.5,670517.5,2.93192E+12
06-03-2020,670483.9375,678042.875,667335.3125,675041,675041,3.02107E+12
07-03-2020,674971.0625,678126.9375,657962.1875,659383.8125,659383.8125,2.68024E+12
08-03-2020,659254.4375,659708.6875,599818.8125,600030.75,600030.75,2.95816E+12
09-03-2020,600255,605200.0625,571518.875,589784.625,589784.625,3.49368E+12
10-03-2020,589673.125,600579.75,577471.9375,587119.4375,587119.4375,3.13344E+12
11-03-2020,587146.1875,585056.6875,565759.1875,586831.125,586831.125,2.8693E+12
12-03-2020,586993.3125,588143,361788.2188,370008.5625,370008.5625,4.01811E+12
13-03-2020,373510.2813,430809.0625,309974.4063,411486.1875,411486.1875,5.48456E+12
14-03-2020,412179.25,416036.125,379045,384613.875,384613.875,2.67395E+12
15-03-2020,384665.6875,431477.5938,382315.0313,398630.2188,398630.2188,2.51332E+12
16-03-2020,398106.4375,398106.4375,339365.6875,372605.9375,372605.9375,3.37112E+12
